"Name","Week_number","Week_ending","Cause","Deaths","Cumulative_deaths"
"Adur",1,2020-01-03,"All causes",10,10
"Arun",1,2020-01-03,"All causes",48,48
"Chichester",1,2020-01-03,"All causes",41,41
"Crawley",1,2020-01-03,"All causes",18,18
"Horsham",1,2020-01-03,"All causes",30,30
"Mid Sussex",1,2020-01-03,"All causes",31,31
"West Sussex",1,2020-01-03,"All causes",214,214
"Worthing",1,2020-01-03,"All causes",36,36
"Adur",2,2020-01-10,"All causes",19,29
"Arun",2,2020-01-10,"All causes",53,101
"Chichester",2,2020-01-10,"All causes",33,74
"Crawley",2,2020-01-10,"All causes",15,33
"Horsham",2,2020-01-10,"All causes",30,60
"Mid Sussex",2,2020-01-10,"All causes",38,69
"West Sussex",2,2020-01-10,"All causes",215,429
"Worthing",2,2020-01-10,"All causes",27,63
"Adur",3,2020-01-17,"All causes",13,42
"Arun",3,2020-01-17,"All causes",50,151
"Chichester",3,2020-01-17,"All causes",25,99
"Crawley",3,2020-01-17,"All causes",15,48
"Horsham",3,2020-01-17,"All causes",26,86
"Mid Sussex",3,2020-01-17,"All causes",32,101
"West Sussex",3,2020-01-17,"All causes",187,616
"Worthing",3,2020-01-17,"All causes",26,89
"Adur",4,2020-01-24,"All causes",20,62
"Arun",4,2020-01-24,"All causes",44,195
"Chichester",4,2020-01-24,"All causes",34,133
"Crawley",4,2020-01-24,"All causes",20,68
"Horsham",4,2020-01-24,"All causes",26,112
"Mid Sussex",4,2020-01-24,"All causes",23,124
"West Sussex",4,2020-01-24,"All causes",197,813
"Worthing",4,2020-01-24,"All causes",30,119
"Adur",5,2020-01-31,"All causes",11,73
"Arun",5,2020-01-31,"All causes",53,248
"Chichester",5,2020-01-31,"All causes",38,171
"Crawley",5,2020-01-31,"All causes",13,81
"Horsham",5,2020-01-31,"All causes",31,143
"Mid Sussex",5,2020-01-31,"All causes",33,157
"West Sussex",5,2020-01-31,"All causes",202,1015
"Worthing",5,2020-01-31,"All causes",23,142
"Adur",6,2020-02-07,"All causes",12,85
"Arun",6,2020-02-07,"All causes",46,294
"Chichester",6,2020-02-07,"All causes",30,201
"Crawley",6,2020-02-07,"All causes",14,95
"Horsham",6,2020-02-07,"All causes",33,176
"Mid Sussex",6,2020-02-07,"All causes",25,182
"West Sussex",6,2020-02-07,"All causes",185,1200
"Worthing",6,2020-02-07,"All causes",25,167
"Adur",7,2020-02-14,"All causes",15,100
"Arun",7,2020-02-14,"All causes",47,341
"Chichester",7,2020-02-14,"All causes",30,231
"Crawley",7,2020-02-14,"All causes",20,115
"Horsham",7,2020-02-14,"All causes",34,210
"Mid Sussex",7,2020-02-14,"All causes",25,207
"West Sussex",7,2020-02-14,"All causes",198,1398
"Worthing",7,2020-02-14,"All causes",27,194
"Adur",8,2020-02-21,"All causes",15,115
"Arun",8,2020-02-21,"All causes",53,394
"Chichester",8,2020-02-21,"All causes",28,259
"Crawley",8,2020-02-21,"All causes",18,133
"Horsham",8,2020-02-21,"All causes",32,242
"Mid Sussex",8,2020-02-21,"All causes",27,234
"West Sussex",8,2020-02-21,"All causes",206,1604
"Worthing",8,2020-02-21,"All causes",33,227
"Adur",9,2020-02-28,"All causes",14,129
"Arun",9,2020-02-28,"All causes",50,444
"Chichester",9,2020-02-28,"All causes",32,291
"Crawley",9,2020-02-28,"All causes",12,145
"Horsham",9,2020-02-28,"All causes",30,272
"Mid Sussex",9,2020-02-28,"All causes",27,261
"West Sussex",9,2020-02-28,"All causes",197,1801
"Worthing",9,2020-02-28,"All causes",32,259
