Area Code,Area Name,Sex,Cases,Population,Rate,Lower CL,Upper CL
E92000001,England,Males,"63,609","27,827,831",255.7,253.7,257.7
E12000001,North East,Males,"3,532","1,312,124",294.7,284.8,304.7
E12000002,North West,Males,"9,917","3,625,650",307.7,301.5,313.9
E12000003,Yorkshire and The Humber,Males,"5,513","2,717,432",230.8,224.6,237.1
E12000004,East Midlands,Males,"3,916","2,391,957",182.5,176.7,188.4
E12000005,West Midlands,Males,"7,084","2,941,291",273.7,267.2,280.2
E12000006,East of England,Males,"6,093","3,072,499",212.5,207.2,218.0
E12000007,London,Males,"13,506","4,475,817",423.9,416.4,431.5
E12000008,South East,Males,"8,797","4,523,939",207.6,203.3,212.1
E12000009,South West,Males,"3,357","2,767,122",122.7,118.6,127.0
E06000001,Hartlepool,Males,75,"45,833",182.0,142.4,229.0
E06000002,Middlesbrough,Males,255,"69,719",464.3,406.7,527.5
E06000003,Redcar and Cleveland,Males,148,"66,579",227.2,191.5,267.6
E06000004,Stockton-on-Tees,Males,194,"97,593",216.7,186.9,249.8
E06000005,Darlington,Males,126,"52,065",257.3,213.8,307.0
E06000047,County Durham,Males,656,"260,881",271.6,250.6,293.7
E06000057,Northumberland,Males,362,"157,462",220.3,197.7,244.6
E08000021,Newcastle upon Tyne,Males,430,"153,112",355.7,321.4,392.6
E08000022,North Tyneside,Males,199,"100,649",218.0,188.1,251.3
E08000023,South Tyneside,Males,218,"73,266",327.6,284.4,375.3
E08000024,Sunderland,Males,493,"135,366",406.0,369.2,445.4
E08000037,Gateshead,Males,376,"99,599",412.7,371.3,457.5
E06000006,Halton,Males,157,"63,082",286.7,241.9,337.1
E06000007,Warrington,Males,315,"104,362",334.5,297.7,374.6
E06000008,Blackburn with Darwen,Males,170,"75,080",304.1,256.9,356.9
E06000009,Blackpool,Males,202,"69,128",306.3,264.9,352.3
E06000049,Cheshire East,Males,451,"188,096",233.2,212.0,256.1
E06000050,Cheshire West and Chester,Males,424,"167,268",258.7,234.4,284.8
E08000001,Bolton,Males,412,"142,817",351.6,317.7,388.0
E08000002,Bury,Males,288,"93,732",356.2,315.6,400.5
E08000003,Manchester,Males,674,"280,396",429.9,394.7,467.2
E08000004,Oldham,Males,401,"116,994",428.1,386.3,473.0
E08000005,Rochdale,Males,295,"109,996",325.1,288.5,365.0
E08000006,Salford,Males,377,"130,722",386.7,347.2,429.3
E08000007,Stockport,Males,443,"143,850",325.0,295.2,356.9
E08000008,Tameside,Males,267,"111,630",289.8,254.6,328.5
E08000009,Trafford,Males,320,"116,078",311.1,277.6,347.5
E08000010,Wigan,Males,418,"163,978",298.8,269.6,330.2
E08000011,Knowsley,Males,254,"71,717",410.2,360.1,465.2
E08000012,Liverpool,Males,743,"248,708",377.4,349.6,406.6
E08000013,St. Helens,Males,282,"89,003",340.8,300.7,384.6
E08000014,Sefton,Males,415,"133,083",306.8,277.6,338.3
E08000015,Wirral,Males,430,"156,939",282.1,255.8,310.3
E10000006,Cumbria,Males,784,"246,456",304.3,282.9,326.8
E10000017,Lancashire,Males,"1,395","602,535",248.0,235.0,261.6
