"Name","Persons"
"Adur","110 deaths (144.3 per 100,000 ESP, 95% CI: 117.2-171.4)"
"Arun","285 deaths (119.1 per 100,000 ESP, 95% CI: 105.1-133.2)"
"Chichester","227 deaths (130.9 per 100,000 ESP, 95% CI: 113.6-148.3)"
"Crawley","123 deaths (143.3 per 100,000 ESP, 95% CI: 117.6-168.9)"
"Horsham","212 deaths (124.4 per 100,000 ESP, 95% CI: 107.5-141.2)"
"Mid Sussex","258 deaths (157 per 100,000 ESP, 95% CI: 137.7-176.3)"
"Worthing","194 deaths (139.3 per 100,000 ESP, 95% CI: 119.4-159.2)"
"Brighton and Hove","329 deaths (149.9 per 100,000 ESP, 95% CI: 133.5-166.3)"
"Eastbourne","177 deaths (115.5 per 100,000 ESP, 95% CI: 98-133)"
"Hastings","129 deaths (134.4 per 100,000 ESP, 95% CI: 111-157.8)"
"Lewes","186 deaths (126.8 per 100,000 ESP, 95% CI: 108.3-145.2)"
"Rother","163 deaths (100.8 per 100,000 ESP, 95% CI: 84.9-116.6)"
"Wealden","234 deaths (106.6 per 100,000 ESP, 95% CI: 92.8-120.3)"
