"LTLA19CD","UTLA19CD","UTLA19NM","RGN19CD","RGN19NM"
"E08000002","E08000002","Bury","E12000002","North West"
"E06000001","E06000001","Hartlepool","E12000001","North East"
"E08000003","E08000003","Manchester","E12000002","North West"
"E08000004","E08000004","Oldham","E12000002","North West"
"E06000002","E06000002","Middlesbrough","E12000001","North East"
"E06000003","E06000003","Redcar and Cleveland","E12000001","North East"
"E08000005","E08000005","Rochdale","E12000002","North West"
"E08000006","E08000006","Salford","E12000002","North West"
"E06000004","E06000004","Stockton-on-Tees","E12000001","North East"
"E08000007","E08000007","Stockport","E12000002","North West"
"E08000008","E08000008","Tameside","E12000002","North West"
"E06000005","E06000005","Darlington","E12000001","North East"
"E06000006","E06000006","Halton","E12000002","North West"
"E08000009","E08000009","Trafford","E12000002","North West"
"E08000010","E08000010","Wigan","E12000002","North West"
"E06000007","E06000007","Warrington","E12000002","North West"
"E08000011","E08000011","Knowsley","E12000002","North West"
"E08000012","E08000012","Liverpool","E12000002","North West"
"E08000013","E08000013","St. Helens","E12000002","North West"
"E06000008","E06000008","Blackburn with Darwen","E12000002","North West"
"E06000009","E06000009","Blackpool","E12000002","North West"
"E08000014","E08000014","Sefton","E12000002","North West"
"E08000015","E08000015","Wirral","E12000002","North West"
"E06000010","E06000010","Kingston upon Hull, City of","E12000003","Yorkshire and The Humber"
"E06000011","E06000011","East Riding of Yorkshire","E12000003","Yorkshire and The Humber"
"E08000016","E08000016","Barnsley","E12000003","Yorkshire and The Humber"
"E08000017","E08000017","Doncaster","E12000003","Yorkshire and The Humber"
"E06000012","E06000012","North East Lincolnshire","E12000003","Yorkshire and The Humber"
"E06000013","E06000013","North Lincolnshire","E12000003","Yorkshire and The Humber"
"E08000018","E08000018","Rotherham","E12000003","Yorkshire and The Humber"
"E06000014","E06000014","York","E12000003","Yorkshire and The Humber"
"E06000015","E06000015","Derby","E12000004","East Midlands"
"E08000019","E08000019","Sheffield","E12000003","Yorkshire and The Humber"
"E08000021","E08000021","Newcastle upon Tyne","E12000001","North East"
"E06000016","E06000016","Leicester","E12000004","East Midlands"
"E08000022","E08000022","North Tyneside","E12000001","North East"
"E08000023","E08000023","South Tyneside","E12000001","North East"
"E06000017","E06000017","Rutland","E12000004","East Midlands"
"E06000018","E06000018","Nottingham","E12000004","East Midlands"
"E08000024","E08000024","Sunderland","E12000001","North East"
"E08000025","E08000025","Birmingham","E12000005","West Midlands"
"E06000019","E06000019","Herefordshire, County of","E12000005","West Midlands"
