Q56,Weighted Base,Alzheimer’s disease or other cause of dementia,Arthritis or ongoing problem with back or joints,Autism or autism spectrum condition,Blindness or partial sight,"A breathing condition, such as asthma or COPD",Cancer (diagnosis or treatment in the last 5 years),Deafness or hearing loss,Diabetes,"A heart condition, such as angina or atrial fibrillation",High blood pressure,Kidney or liver disease,A learning disability,A mental health condition,"A neurological condition, such as epilepsy",A stroke (which affects your day-to-day life),Another long-term condition or disability,I do not have any long-term conditions
All groups,674772,4310,126057,6896,10363,72963,21784,41408,50869,40004,114553,12327,10795,66788,13046,5707,87580,300464
English / Welsh / Scottish / Northern Irish / British,519999,3625,109173,5820,8659,62685,19353,38014,39206,35434,95670,9588,8897,56934,11253,4780,72934,207988
Irish,5729,68,1360,27,105,776,287,461,393,512,1306,117,69,578,111,71,787,2124
Gypsy or Irish Traveller,286,8,59,7,1,54,8,25,23,17,58,6,11,50,9,2,42,112
Any other White background,46029,103,3760,172,373,1898,619,820,1307,956,3566,708,296,2687,478,190,4697,30831
White and Black Caribbean,2700,7,428,65,29,327,39,59,108,48,221,27,93,524,50,4,396,1273
White and Black African,1385,10,185,27,11,135,11,17,71,50,156,24,22,176,8,14,141,771
White and Asian,3307,10,316,68,22,305,39,83,174,79,280,41,95,476,62,7,330,1789
Any other Mixed / multiple ethnic background,3532,9,371,76,28,306,55,61,111,81,242,45,84,398,64,10,384,2121
Indian,20647,111,2429,97,210,1453,302,521,2518,790,2977,312,223,853,246,137,1780,12018
Pakistani,13478,61,1510,111,182,1153,122,306,1606,485,1556,256,239,854,160,81,1156,7891
Bangladeshi,5605,35,573,32,60,415,50,82,802,209,724,109,78,365,52,36,395,3224
Chinese,5736,20,410,28,49,221,122,82,241,92,469,130,42,212,20,20,365,3968
Any other Asian background,10959,35,1049,48,93,728,135,170,1032,324,1314,196,83,512,90,61,862,6749
African,13797,33,1208,108,166,634,180,129,1071,175,2395,215,152,543,121,89,1026,8337
Caribbean,6206,66,1259,57,116,699,205,195,820,203,1613,137,131,513,101,69,699,2550
Any other Black / African / Caribbean background,1652,7,250,22,25,184,31,48,139,41,285,42,44,143,40,16,193,801
Arab,2649,13,308,28,52,227,32,51,249,87,313,50,38,198,40,18,301,1534
Any other ethnic group,11074,90,1408,102,182,763,192,284,998,421,1408,326,201,773,145,102,1093,6384
