"Area","Date","New_cases","Cumulative_cases"
"Surrey",2020-01-30,0,0
"Surrey",2020-01-31,0,0
"Surrey",2020-02-01,0,0
"Surrey",2020-02-02,0,0
"Surrey",2020-02-03,0,0
"Surrey",2020-02-04,0,0
"Surrey",2020-02-05,0,0
"Surrey",2020-02-06,0,0
"Surrey",2020-02-07,0,0
"Surrey",2020-02-08,0,0
"Surrey",2020-02-09,0,0
"Surrey",2020-02-10,0,0
"Surrey",2020-02-11,0,0
"Surrey",2020-02-12,0,0
"Surrey",2020-02-13,0,0
"Surrey",2020-02-14,0,0
"Surrey",2020-02-15,0,0
"Surrey",2020-02-16,0,0
"Surrey",2020-02-17,0,0
"Surrey",2020-02-18,0,0
"Surrey",2020-02-19,0,0
"Surrey",2020-02-20,0,0
"Surrey",2020-02-21,0,0
"Surrey",2020-02-22,0,0
"Surrey",2020-02-23,0,0
"Surrey",2020-02-24,0,0
"Surrey",2020-02-25,1,1
"Surrey",2020-02-26,0,1
"Surrey",2020-02-27,0,1
"Surrey",2020-02-28,1,2
"Surrey",2020-02-29,0,2
"Surrey",2020-03-01,0,2
"Surrey",2020-03-02,0,2
"Surrey",2020-03-03,2,4
"Surrey",2020-03-04,0,4
"Surrey",2020-03-05,0,4
"Surrey",2020-03-06,2,6
"Surrey",2020-03-07,0,6
"Surrey",2020-03-08,2,8
"Surrey",2020-03-09,3,11
"Surrey",2020-03-10,5,16
"Surrey",2020-03-11,5,21
"Surrey",2020-03-12,18,39
"Surrey",2020-03-13,5,44
"Surrey",2020-03-14,9,53
"Surrey",2020-03-15,9,62
"Surrey",2020-03-16,13,75
"Surrey",2020-03-17,19,94
"Surrey",2020-03-18,34,128
"Surrey",2020-03-19,22,150
"Surrey",2020-03-20,26,176
"Surrey",2020-03-21,24,200
"Surrey",2020-03-22,36,236
"Surrey",2020-03-23,50,286
"Surrey",2020-03-24,42,328
"Surrey",2020-03-25,54,382
"Surrey",2020-03-26,55,437
"Surrey",2020-03-27,56,493
"Surrey",2020-03-28,56,549
"Surrey",2020-03-29,49,598
"Surrey",2020-03-30,100,698
"Surrey",2020-03-31,65,763
"Surrey",2020-04-01,92,855
"Surrey",2020-04-02,70,925
"Surrey",2020-04-03,65,990
"Surrey",2020-04-04,68,1058
"Surrey",2020-04-05,66,1124
"Surrey",2020-04-06,86,1210
"Surrey",2020-04-07,117,1327
"Surrey",2020-04-08,85,1412
"Surrey",2020-04-09,66,1478
"Surrey",2020-04-10,83,1561
"Surrey",2020-04-11,65,1626
"Surrey",2020-04-12,55,1681
"Surrey",2020-04-13,95,1776
"Surrey",2020-04-14,87,1863
"Surrey",2020-04-15,111,1974
"Surrey",2020-04-16,72,2046
"Surrey",2020-04-17,62,2108
"Surrey",2020-04-18,47,2155
"Surrey",2020-04-19,39,2194
"Surrey",2020-04-20,63,2257
"Surrey",2020-04-21,72,2329
"Surrey",2020-04-22,47,2376
"Surrey",2020-04-23,52,2428
"Surrey",2020-04-24,51,2479
"Surrey",2020-04-25,27,2506
"Surrey",2020-04-26,16,2522
"Surrey",2020-04-27,27,2549
"Surrey",2020-04-28,32,2581
"Surrey",2020-04-29,28,2609
"Surrey",2020-04-30,27,2636
"Surrey",2020-05-01,25,2661
"Surrey",2020-05-02,22,2683
"Surrey",2020-05-03,16,2699
"Surrey",2020-05-04,20,2719
"Surrey",2020-05-05,27,2746
"Surrey",2020-05-06,13,2759
"Surrey",2020-05-07,13,2772
"Surrey",2020-05-08,5,2777
"Surrey",2020-05-09,6,2783
"Surrey",2020-05-10,11,2794
"Surrey",2020-05-11,13,2807
"Surrey",2020-05-12,8,2815
"Surrey",2020-05-13,7,2822
"Surrey",2020-05-14,10,2832
"Surrey",2020-05-15,6,2838
"Surrey",2020-05-16,13,2851
"Surrey",2020-05-17,3,2854
"Surrey",2020-05-18,18,2872
"Surrey",2020-05-19,17,2889
"Surrey",2020-05-20,15,2904
